City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tarakan,3.3,117.63,81.01,79,100,3.47,ID,1603816491
Plouzané,48.38,-4.62,55.4,87,75,11.41,FR,1603816408
Viçosa do Ceará,-3.56,-41.09,94.84,24,51,6.67,BR,1603816494
Sabla,12.75,4.71,87.12,16,1,4.63,NG,1603816495
Bose,45.46,8.01,54.0,79,35,3.74,IT,1603816496
Wagar,16.15,36.2,90.66,23,1,11.86,SD,1603816497
Kudahuvadhoo,2.67,72.89,82.87,77,15,12.64,MV,1603816498
Igboho,8.83,3.75,80.85,48,47,3.8,NG,1603816500
San Ignacio,17.16,-89.07,89.01,70,20,3.36,BZ,1603816501
Mogadishu,2.04,45.34,80.71,79,63,10.87,SO,1603816502
Lubango,-14.92,13.49,84.2,65,20,13.87,AO,1603816503
Cayenne,4.93,-52.33,91.4,59,20,9.17,GF,1603816207
Dikson,73.51,80.55,10.27,96,100,17.81,RU,1603815790
Soure,-0.72,-48.52,87.33,60,41,13.96,BR,1603816507
Leh,34.17,77.58,32.92,63,0,0.74,IN,1603816508
Krasnoarmeysk,51.02,45.7,37.99,61,0,4.0,RU,1603816509
Krasnosel'kup,65.7,82.47,-1.17,88,0,12.88,RU,1603816510
Pedernales,18.04,-71.74,87.8,79,20,9.51,DO,1603816511
Jumla,29.27,82.18,44.92,59,0,3.91,NP,1603816513
Prado,-17.34,-39.22,80.22,76,79,7.7,BR,1603816514
East London,-33.02,27.91,71.6,88,20,13.87,ZA,1603816515
Vallenar,-28.57,-70.76,75.65,37,35,7.61,CL,1603816517
Manokwari,-0.87,134.08,79.36,77,87,4.18,ID,1603816518
Mount Gambier,-37.83,140.77,48.2,100,3,5.82,AU,1603815936
Honiara,-9.43,159.95,73.4,100,40,3.36,SB,1603816520
Broken Hill,-31.95,141.43,55.4,76,75,6.93,AU,1603816289
Shimoda,34.67,138.95,55.0,83,15,6.49,JP,1603816384
Sühbaatar,50.23,106.21,29.05,87,0,3.24,MN,1603816523
Deputatsky,69.3,139.9,3.52,95,100,2.46,RU,1603816525
Safi,32.3,-9.24,66.7,62,0,23.47,MA,1603816526
Tekirdağ,40.98,27.51,62.6,88,20,8.05,TR,1603816527
Santiago de Cuba,20.02,-75.82,87.8,62,40,6.93,CU,1603816528
Bulungu,-4.55,18.6,75.88,89,83,1.88,CD,1603816529
Concepción de la Vega,19.22,-70.53,86.0,78,40,9.17,DO,1603816530
Mahon,39.89,4.27,62.6,55,20,6.93,ES,1603816393
Ippy,6.27,21.22,72.81,90,95,1.32,CF,1603816533
Wadi Maliz,36.47,8.55,62.6,63,40,9.17,TN,1603816534
Benguela,-12.58,13.41,82.4,69,20,16.11,AO,1603816535
Nyurba,63.28,118.33,13.98,90,100,2.73,RU,1603816536
Porbandar,21.64,69.61,81.79,53,0,10.02,IN,1603816537
Verkhniy Baskunchak,48.23,46.72,42.55,57,100,12.08,RU,1603816538
Kalmunai,7.42,81.82,80.78,77,42,3.62,LK,1603816018
Sangar,63.92,127.47,-3.62,92,41,4.99,RU,1603816387
Basco,20.45,121.97,81.48,84,100,21.16,PH,1603816542
Aden,12.78,45.04,82.69,62,0,10.36,YE,1603816375
Poole,50.72,-2.0,55.4,82,20,9.17,GB,1603816544
Anloga,5.79,0.9,84.2,74,40,12.75,GH,1603816545
Kenora,49.82,-94.43,23.0,79,90,13.87,CA,1603816261
Muroto-misakicho,33.28,134.15,66.54,67,27,4.68,JP,1603816548
Black River,18.03,-77.85,87.8,70,20,13.87,JM,1603816549
Noumea,-22.28,166.46,69.8,73,0,5.82,NC,1603816550
Nome,64.5,-165.41,30.2,80,90,4.88,US,1603816329
Mackay,-21.15,149.2,73.4,83,90,5.82,AU,1603816273
Suphan Buri,14.47,100.12,79.0,87,100,7.02,TH,1603816554
Lac du Bonnet,50.25,-96.06,24.01,98,100,8.99,CA,1603816318
Guarapari,-20.67,-40.5,80.01,77,65,3.0,BR,1603816556
Urbana,40.11,-88.21,39.2,93,90,5.82,US,1603816330
Port Lincoln,-34.73,135.87,55.31,87,0,6.69,AU,1603815825
Bilma,18.69,12.92,77.52,17,0,3.33,NE,1603816559
Yangi Marg`ilon,40.43,71.72,51.8,53,100,6.93,UZ,1603816560
Batagay-Alyta,67.8,130.41,2.68,91,56,2.21,RU,1603816562
Birao,10.28,22.79,82.65,38,0,3.87,CF,1603816563
Maniitsoq,65.42,-52.9,22.6,88,1,7.85,GL,1603816564
Kismayo,-0.36,42.55,80.2,81,68,12.93,SO,1603816565
Nizhnyaya Tavda,57.67,66.17,23.63,95,100,14.99,RU,1603816566
Baghdad,33.34,44.4,73.4,28,0,3.36,IQ,1603816567
Haimen,23.19,116.61,71.6,78,0,4.47,CN,1603816569
Māngrol,21.12,70.12,82.51,55,0,8.9,IN,1603816570
Hanyang,32.14,105.51,55.99,74,99,4.99,CN,1603816571
Oktyabr'skiy,54.48,53.47,28.81,93,18,2.71,RU,1603816572
Alyangula,-13.85,136.42,77.0,94,90,2.33,AU,1603816573
Kotido,2.98,34.13,78.87,42,94,13.22,UG,1603816575
Dvinskoy Bereznik,62.86,42.71,39.78,95,100,6.87,RU,1603816576
San Patricio,28.02,-97.52,57.2,93,90,13.87,US,1603816577
Sainte-Marie,-20.9,55.55,75.2,64,90,5.82,RE,1603816578
Alta Floresta,-9.88,-56.09,87.8,66,75,6.93,BR,1603816579
Darhan,49.49,105.92,30.47,86,0,7.0,MN,1603816581
Terrace,54.52,-128.6,46.4,87,90,3.36,CA,1603816501
Bilisht,40.63,20.99,62.6,51,20,3.09,AL,1603816583
Homnābād,17.77,77.13,70.56,73,53,5.44,IN,1603816584
Waipawa,-41.41,175.52,51.8,76,100,17.22,NZ,1603816585
Asău,46.43,26.4,51.01,98,0,0.02,RO,1603816586
Kuching,1.55,110.33,75.2,100,40,1.12,MY,1603816588
Moose Factory,51.26,-80.61,30.2,54,75,11.41,CA,1603816012
Grand Gaube,-20.01,57.66,73.99,72,10,3.0,MU,1603816590
Huarmey,-10.07,-78.15,69.4,67,78,9.53,PE,1603816591
Juba,4.85,31.58,80.1,66,95,1.34,SS,1603816592
Wawa,9.9,4.42,84.15,37,0,0.54,NG,1603816594
Egvekinot,66.32,-179.17,17.11,92,81,8.01,RU,1603816595
Talcahuano,-36.72,-73.12,59.0,51,20,12.75,CL,1603816596
Launceston,-41.45,147.17,46.99,87,75,9.17,AU,1603816597
Panzhihua,26.59,101.71,66.4,79,6,0.58,CN,1603816599
Saint Anthony,45.02,-93.22,28.99,62,1,12.75,US,1603816600
Evensk,61.95,159.23,24.49,81,0,13.98,RU,1603816601
Lotoshino,56.23,35.64,45.54,83,0,13.31,RU,1603816602
Mata,40.68,-7.46,55.99,90,98,8.01,PT,1603816603
Harper,4.38,-7.72,80.15,83,100,8.39,LR,1603816604
Cabot,34.97,-92.02,46.4,93,90,10.29,US,1603816452
Bridlington,54.08,-0.19,51.8,93,100,11.41,GB,1603816502
Brae,60.4,-1.35,50.0,87,75,11.41,GB,1603816608
Kishapu,-3.62,33.87,82.13,36,40,9.35,TZ,1603816609
Norsup,-16.07,167.38,77.0,83,40,8.05,VU,1603816611
La Tuque,47.43,-72.78,29.73,88,79,5.21,CA,1603816612
Coquimbo,-29.95,-71.34,57.2,76,90,9.17,CL,1603816319
Emba,48.83,58.14,33.55,85,0,12.12,KZ,1603816614
Lexington Park,38.27,-76.45,64.4,72,90,9.17,US,1603816616
Rivadavia,-33.19,-68.46,77.0,20,0,14.99,AR,1603816617
Dargaville,-35.93,173.88,55.54,93,21,2.15,NZ,1603816618
Shiraz,29.6,52.54,62.6,29,0,6.58,IR,1603816480
Diapaga,12.07,1.79,91.11,16,0,5.64,BF,1603816620
Keflavik,64.0,-22.56,42.8,56,0,23.04,IS,1603816621
Benghazi,32.12,20.07,78.55,51,23,8.99,LY,1603816623
Povenets,62.85,34.83,47.86,87,100,12.75,RU,1603816357
Port Augusta,-32.5,137.77,55.4,87,0,5.82,AU,1603816625
Muzhi,65.37,64.67,9.63,95,100,3.38,RU,1603816626
Augustów,53.84,22.98,54.12,84,100,7.63,PL,1603816627
Saint-Joseph,-21.37,55.62,77.0,69,90,2.24,RE,1603816629
Saint-Leu,-21.15,55.28,77.0,69,90,2.24,RE,1603816630
Pio XII,-3.83,-45.15,96.01,40,98,5.48,BR,1603816631
Liancheng,24.05,105.08,62.71,97,62,1.88,CN,1603816632
Arona,28.1,-16.68,75.99,57,75,21.92,ES,1603816633
Petropavlovsk-Kamchatskiy,53.05,158.65,35.6,93,11,4.47,RU,1603816634
Calvinia,-31.47,19.78,68.36,29,82,9.4,ZA,1603816636
Makakilo City,21.35,-158.09,75.2,88,1,3.36,US,1603816637
Pontal do Paraná,-25.65,-48.51,84.0,39,40,13.87,BR,1603816638
Kalianget,-7.05,113.93,81.97,73,65,2.44,ID,1603816639
Samfya,-11.36,29.56,80.44,34,66,4.94,ZM,1603816640
Pāveh,35.04,46.36,46.42,55,0,2.42,IR,1603816641
The Valley,18.22,-63.06,82.4,88,40,14.99,AI,1603816642
Anadyr,64.75,177.48,12.2,85,0,6.71,RU,1603816644
Kentville,45.08,-64.5,46.99,81,75,10.29,CA,1603816645
Madawaska,47.36,-68.33,33.01,93,90,11.41,US,1603816646
Dordrecht,51.81,4.67,53.01,80,96,8.99,NL,1603816647
Vagay,57.94,69.02,24.49,95,100,14.56,RU,1603816648
Tevaitoa,-16.78,-151.5,80.33,81,61,16.75,PF,1603816649
Bilibino,68.05,166.44,-1.89,90,99,0.65,RU,1603816650
Rodolfo Sánchez Taboada,31.72,-116.57,66.0,19,0,12.66,MX,1603816364
Porto Seguro,-16.45,-39.06,86.0,66,75,12.75,BR,1603816653
Valdivia,-39.81,-73.25,50.0,87,75,11.41,CL,1603816577
Chengdu,30.67,104.07,62.01,77,40,4.47,CN,1603816498
Vanimo,-2.67,141.3,78.37,78,100,1.43,PG,1603816656
Chapais,49.78,-74.85,26.6,58,1,9.17,CA,1603816657
Atar,20.52,-13.05,102.2,16,0,9.17,MR,1603816659
Kiryat Gat,31.61,34.76,79.0,100,0,3.0,IL,1603816660
Outjo,-20.12,16.15,86.9,18,41,8.34,NA,1603816661
Meulaboh,4.14,96.13,77.45,85,89,2.64,ID,1603816662
Tuy Hoa,13.08,109.3,74.64,86,100,31.97,VN,1603816663
Florø,61.6,5.03,46.4,87,75,8.05,NO,1603816665
Marystown,47.17,-55.15,54.0,100,100,5.01,CA,1603816666
Bodden Town,19.28,-81.25,87.8,70,20,17.22,KY,1603816667
Zeya,53.75,127.27,34.41,94,100,4.18,RU,1603816668
Nanpiao,41.1,120.75,43.27,49,64,4.54,CN,1603816669
Praia da Vitória,38.73,-27.07,66.2,63,40,14.25,PT,1603816670
Bassano,50.78,-112.47,44.01,64,100,5.01,CA,1603816671
Borogontsy,62.67,131.17,3.45,94,100,3.76,RU,1603816673
Newport,51.59,-3.0,55.0,82,64,3.0,GB,1603816387
Santa Inês,-3.67,-45.38,95.34,42,100,6.04,BR,1603816675
Truckee,39.33,-120.18,44.01,45,5,9.26,US,1603816676
Flinders,-34.58,150.86,55.99,89,47,1.01,AU,1603816677
Monrovia,6.3,-10.8,86.0,74,75,13.87,LR,1603816678
